product_name,brand,powertrain,source,product_id
几何EX3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,190
朋克多多,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,191
长安欧尚A600EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,192
朋克美美,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,193
吉利博瑞GE,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,194
雷凌PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,195
发现神行,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,196
赛力斯SF5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,197
国机智骏GC1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,198
标致4008 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,199
天逸C5 AIRCROSS PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,200
百智大熊,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,201
梦想家,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,202
国机智骏GX5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,203
星越 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,204
东风风光E3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,205
北汽EC系列,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,206
思皓E40X,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,207
北汽EX系列,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,208
日产轩逸,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,209
艾瑞泽5e,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,210
缤越PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,211
零跑S01,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,212
宝马X1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,213
雪铁龙凡尔赛C5 X新能源,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,214
宝骏E200,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,215
领克02 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,216
指挥官PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,217
威马ex6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,218
开瑞K60,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,219
传祺GE3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,220
传祺GS4,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,221
大通G10,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,222
帝豪GL,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,223
帝豪GSe,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,224
帝豪PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,225
东风本田X-NV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,226
东风标致e2008,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,227
东风风光E1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,228
东风富康ES500,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,229
东南DX3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,230
菲斯塔EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,231
广汽世锐PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,232
汉腾X5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,233
汉腾X7,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,234
红旗E-HS3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,235
华泰EV160,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,236
华泰xEV260,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,237
华泰圣达菲2,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,238
江淮iC5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,239
江淮iev6S/E,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,240
江淮iev7,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,241
江淮iEV7S,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,242
江淮iEVA50,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,243
江淮iEVS4,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,244
江铃E160,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,245
江铃E200,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,246
江铃E400,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,247
凯翼E5 EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,248
雷丁i3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,249
雷丁i5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,250
雷丁i9,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,251
雷诺e诺,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,252
力帆650,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,253
力帆820,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,254
猎豹CS9,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,255
凌宝B0X,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,256
领途K-ONE,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,257
路盛,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,258
路盛S1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,259
蒙迪欧PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,260
哪吒N01,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,261
尼欧II,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,262
欧拉iQ,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,263
祺智EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,264
祺智PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,265
启辰e30,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,266
启辰T60,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,267
起亚K5 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,268
起亚KX3 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,269
荣威E950,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,270
荣威ERX5 EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,271
瑞虎3xe,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,272
瑞虎e,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,273
思皓e20x,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,274
索纳塔PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,275
腾势,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,276
腾势X EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,277
途岳EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,278
新特DEV 1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,279
野马E70,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,280
易至EX5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,281
裕路EV2,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,282
众泰Z500EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,283
众泰云100,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,284
领克03 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,285
枫叶80V,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,286
瑞虎8 Plus,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,287
云度π1 Pro,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,288
腾势X PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,289
比亚迪宋EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,290
云度π3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,291
奔腾X40 EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,292
领动PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,293
奔腾E01,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,294
海马爱尚,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,295
丰田C-HR EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,296
起亚K3 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,297
华骐300E,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,298
比亚迪e5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,299
宝骏E300,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,300
宝骏E100,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,301
比亚迪秦EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,302
枫叶30X,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,303
吉利知豆D2,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,304
比亚迪S2,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,305
比亚迪e1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,306
ARCFOX Lite,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,307
BEIJING-X7,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,308
e-Bora,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,309
e-Golf,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,310
e-Lavida,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,311
IDENTY X,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,312
Marvel X,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,313
Velite 5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,314
WEY P8,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,315
昂希诺EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,316
奔腾B30,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,317
比亚迪秦,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,318
传祺GA3S,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,319
云度π1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,320
长安CS15,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,321
长城C30,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,322
众泰E200,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,323
众泰T300,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,324
众泰Z100EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,325
北汽EV系列,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,326
奔奔MINI,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,327
风神E30,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,328
电咖EV10,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,329
海马M3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,330
吉利知豆D3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,331
江铃E100,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,332
江南T11,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,333
领途C99,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,334
领途E行,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,335
欧力威,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,336
其他,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,337
全球鹰EX3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,338
全球鹰K12,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,339
全球鹰K22,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,340
全球鹰K27,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,341
荣威E50,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,342
荣威R ER6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,343
瑞特思,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,344
时空E17,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,345
逸动PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,346
芝麻E30,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,347
理想L8,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,348
腾势D9,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,349
熊猫mini,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,350
护卫舰07,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,351
smart精灵#1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,352
问界M5 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,353
哪吒S,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,354
阿维塔11,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,355
哈弗大狗,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,356
广汽丰田bZ4X,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,357
欧拉闪电猫,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,358
MG MULAN,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,359
问界M5 EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,360
智己LS7,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,361
小鹏G9,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,362
五菱Air ev晴空,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,363
哈弗H6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,364
长安UNI-V,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,365
几何G6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,366
几何M6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,367
极氪009,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,368
元宝,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,369
星越L,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,370
花仙子,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,371
智己L7,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,372
飞凡R7,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,373
零跑C01,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,374
睿蓝9,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,375
无界Pro,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,376
沃尔沃C40,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,377
爱驰U6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,378
比亚迪T3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,379
总计,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,380
